음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
오레오즈,30,120,26,12,1.5,1,0,0,120,0,0,0,0,0,0
오레오오즈,30,120,26,12,1.5,1,0,0,120,0,0,0,0,0,0
그래놀라카카오,100,460,19.7,2,41,14.4,0,0,40,0,0,0,0,0,0
첵스초코,30,120,25,7,1.3,2,0,0,135,0,0,0,0,0,0
초코첵스,30,120,25,7,1.3,2,0,0,135,0,0,0,0,0,0
그래놀라코코아호두,30,135,22,6,4.2,2,0,0,150,0,0,0,0,0,0
그래놀라,30,126,23.4,6.3,3,2.1,0,0,120,0,0,0,0,0,0
그래놀라코코,100,423,85,38,7,5,0,0,290,0,0,0,0,0,0
아몬드콘후레이크,30,125,23,8,2.55,1.8,0,0,120,0,0,0,0,0,0
초코크런치,92,410,68,19,13,6,0,0,180,0,0,0,0,0,0
그래놀라다이제,100,483,72,24,19,6,0,0,360,0,0,0,0,0,0.5
초코후레이크,30,115,25,10,1.1,1,0,0,160,0,0,0,0,0,0
후르트링,30,119,26.4,11,0.9,1.2,0,0,150,0,0,0,0,0,0
후르츠링,30,119,26.4,11,0.9,1.2,0,0,150,0,0,0,0,0,0
허니오즈,40,150,33,11,1.8,2,0,0,130,0,0,0,0,0,0
코코볼,100,393,81,31,5,6,0,0,280,0,0,0,0,0,0
우리쌀링,19.8,82.5,17.16,7.3,1.3,0.7,0,0,23.1,0,0,0,0,0,0
망고에이드,250,125,31,30,0,0,0,0,25,0,0,0,0,0,0
유자에이드,345,124,31,31,0,0,0,0,11,0,0,0,0,0,0
아몬드우유,190,45,5,4.5,2.2,1.2,0,0,115,0,0,0,0,0,0
아몬드브리즈,190,45,5,4.5,2.2,1.2,0,0,115,0,0,0,0,0,0
레몬에이드,100,117,27,27,0,0,0,0,5,0,0,0,0,0,0
청포도에이드,414,131,30,30,0,0,0,0,3,0,0,0,0,0,0
딸기에이드,245,170,42,41,0,1,0,0,30,0,0,0,0,0,0
자두에이드,230,120,29,28,0,0,0,0,0,0,0,0,0,0,0
오미자에이드,150,65,16,16,0,0,0,0,25,0,0,0,0,0,0
파워에이드,355,36,9,9,0,0,0,0,188,0,0,0,0,0,0
블루레몬에이드,340,130,32,29,0,1,0,0,45,0,0,0,0,0,0
청귤에이드,250,120,30,28,0,0,0,0,30,0,0,0,0,0,0
체리에이드,350,172,43,42,0,0,0,0,3,0,0,0,0,0,0
배쥬스,180,80,20,20,0,0,0,0,2,0,0,0,0,0,0
사과쥬스,190,60,15,15,0,0,0,0,40,0,0,0,0,0,0
복숭아아이스티,355,70,17,17,0,0,0,0,30,0,0,0,0,0,0
오미자쥬스,150,65,16,16,0,0,0,0,25,0,0,0,0,0,0
블루베리쥬스,270,168,42,35,0,0,0,0,0,0,0,0,0,0,0
알로에쥬스,180,60,15,15,0,0,0,0,28,0,0,0,0,0,0
캐플쥬스,125,55,14,14,0,0,0,0,0,0,0,0,0,0,0
토마토쥬스,100,60,15,15,0,0,0,0,20,0,0,0,0,0,0
요거풋풋사과쥬스,100,55,14,11,0,0,0,0,55,0,0,0,0,0,0
복숭아쥬스,450,170,41,33,0,1,0,0,75,0,0,0,0,0,0
청귤쥬스,250,120,30,28,0,0,0,0,30,0,0,0,0,0,0
감귤쥬스,250,120,30,28,0,0,0,0,30,0,0,0,0,0,0
요거상큼복숭아쥬스,450,170,41,33,0,1,0,0,75,0,0,0,0,0,0
파인쥬스,200,95,23,23,0,1,0,0,4,0,0,0,0,0,0
포도쥬스,180,80,20,19,0,0,0,0,14,0,0,0,0,0,0
오렌지쥬스,200,90,22,20,0,1,0,0,10,0,0,0,0,0,0
샤인머스캣쥬스,500,225,56,51,0,0,0,0,50,0,0,0,0,0,0
석류쥬스,100,60,12,12,0,0,0,0,0,0,0,0,0,0,0
갈아만든배,500,248,62,60,0,0,0,0,15,0,0,0,0,0,0
갈아만든배쥬스,500,248,62,60,0,0,0,0,15,0,0,0,0,0,0
파인애플쥬스,200,95,23,23,0,1,0,0,4,0,0,0,0,0,0
매실쥬스,175,104,26,24,0,0,0,0,30,0,0,0,0,0,0
복분자쥬스,180,90,21,20,0,0,0,0,30,0,0,0,0,0,0
망고쥬스,100,50,13,13,0,0,0,0,20,0,0,0,0,0,0
자몽쥬스,100,42,10,9.2,0,0.4,0,0,0,0,0,0,0,0,0
청포도쥬스,414,131,30,30,0,0,0,0,3,0,0,0,0,0,0
게토레이,600,160,40,39,0,0,0,0,170,0,0,0,0,0,0
이프로,240,65,16,16,0,0,0,0,10,0,0,0,0,0,0
보리차,500,35,13,0,0,0,0,0,32,0,0,0,0,0,0
수정과,238,85,21,20,0,0,0,0,25,0,0,0,0,0,0
유자민트아이스티,355,145,37,37,0,0,0,0,537,0,0,0,0,0,0
초코우유,200,135,22,21,3,5,0,0,90,0,0,0,0,10,0
우유,200,135,10,10,8,6,2,2,100,2,2,2,2,20,0
블루베리스무디,410,198,42,42,0,0,0,0,24,0,0,0,0,0,0
레몬아이스티,335,130,33,32,0,0,0,0,0,0,0,0,0,0,0
포카리스웨트,240,60,14,14,0,0,0,0,120,0,0,0,0,0,0
메론,100,184,17,8,7,12,0,0,34,0,0,0,0,51,0
멜론,100,184,17,8,7,12,0,0,34,0,0,0,0,51,0
사과,230,72,19.06,14.34,0.23,0.36,0,0,1,0,0,0,0,0,0
배,600,96,25.66,16.27,0.2,0.63,0,0,2,0,0,0,0,0,0
리치,10,6,1.59,1.46,0.4,0.08,0,0,0,0,0,0,0,0,0
청포도,8,3,0.9,0.77,0.01,0.04,0,0,0,0,0,0,0,0,0
파인애플,115,65,15,14,0.2,0.6,0,0,2,0,0,0,0,0,0
귤,85,37,9.34,7.41,0.22,0.57,0,0,1,0,0,0,0,0,0
감귤,85,37,9.34,7.41,0.22,0.57,0,0,1,0,0,0,0,0,0
자몽,115,41,10.34,8.93,0.13,0.81,0,0,0,0,0,0,0,0,0
열대과일,100,80,20,20,0,0,0,0,0,0,0,0,0,0,0
바나나,200,105,26.95,14.43,0.39,1.29,0,0,1,0,0,0,0,0,0
키위,110,46,11.14,6.83,0.4,0.87,0,0,2,0,0,0,0,0,0
자두,70,24,5.97,5.18,0.15,0.37,0,0,1,0,0,0,0,0,0
딸기,36,4,0.92,0.56,0.04,0.08,0,0,0,0,0,0,0,0,0
포도,6,3,0.9,0.77,0.01,0.04,0,0,0,0,0,0,0,0,0
참외,100,31,11,9.08,0.29,1.57,0,0,2,0,0,0,0,0,0
샤인머스캣,100,69,18.1,15.48,0.16,0.72,0,0,2,0,0,0,0,0,0
망고,100,61,15.89,13.83,0.25,0.48,0,0,2,0,0,0,0,0,0
수박,10,46,11.48,9.42,0.23,0.93,0,0,2,0,0,0,0,0,0
골드키위,83,54,9.2,9,0.5,1,0,0,2,0,0,0,0,0,0
석류,240,105,26.44,25.52,0.46,1.46,0,0,5,0,0,0,0,0,0
토마토,8,3,0.67,0.45,0.03,0.15,0,0,1,0,0,0,0,0,0
오렌지,300,62,15.39,12.25,0.16,1.23,0,0,0,0,0,0,0,0,0
샐러드,150,184,10.3,4.12,15.68,1.45,0,0,274,299,0,0,0,0,0
